Search_Timestamp,Origin,Destination,Departure_Date,Return_Date,Nights,Total_Price_EUR,Price_Per_Person_EUR,Outbound_Airlines,Inbound_Airlines,Outbound_Duration_Hrs,Inbound_Duration_Hrs,Outbound_Stops,Inbound_Stops,Outbound_Layovers,Inbound_Layovers
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2815.35,703.8375,Turkish Airlines,Turkish Airlines,21.58,17.0,1,1,8h 0m,1h 40m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2814.7,703.675,Turkish Airlines,Turkish Airlines,36.33,17.0,1,1,22h 55m,1h 40m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,3677.62,919.405,Lufthansa,Air China + Lufthansa,17.25,15.5,1,1,4h 10m,1h 45m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2969.95,742.4875,KLM,Air France,16.75,22.33,1,1,2h 40m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2814.17,703.5425,Turkish Airlines,Turkish Airlines,21.58,38.92,1,1,8h 0m,23h 30m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,3841.85,960.4625,Lufthansa,Air China + Lufthansa,17.25,16.83,1,1,4h 10m,3h 5m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,3199.6,799.9,Air France,Air France,18.33,22.33,1,1,4h 20m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2886.47,721.6175,KLM,Air France,24.5,22.33,2,1,3h 25m | 5h 30m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2886.48,721.62,KLM,Air France,24.5,22.33,2,1,4h 40m | 4h 10m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,4478.47,1119.6175,Lufthansa + Air China,Air China + Lufthansa,17.25,15.5,1,1,4h 10m,1h 45m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2694.97,673.7425,Air France,Air France,34.58,22.33,2,1,17h 35m | 2h 0m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2694.97,673.7425,Air France,Air France,34.58,22.33,2,1,13h 10m | 6h 20m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2694.98,673.745,Air France,Air France,34.58,22.33,2,1,16h 30m | 2h 55m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2696.86,674.215,KLM,Air France,34.58,22.33,2,1,1h 35m | 18h 5m,6h 55m
2026-06-01 15:45:41,SVQ,PEK,2026-11-14,2026-11-28,14,2813.18,703.295,Turkish Airlines,Turkish Airlines,36.33,38.92,1,1,22h 55m,23h 30m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3572.93,893.2325,Swiss,Lufthansa,15.58,18.17,1,1,1h 10m,1h 40m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3167.97,791.9925,Turkish Airlines,Turkish Airlines,22.5,24.67,1,1,7h 40m,7h 50m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,2799.96,699.99,Turkish Airlines,Turkish Airlines,37.58,24.67,1,1,22h 55m,7h 50m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3185.31,796.3275,Swiss,Lufthansa,15.58,31.58,1,1,1h 10m,14h 45m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3167.13,791.7825,Turkish Airlines,Turkish Airlines,22.5,37.67,1,1,7h 40m,20h 40m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,2799.16,699.79,Turkish Airlines,Turkish Airlines,37.58,37.67,1,1,22h 55m,20h 40m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.95,910.9875,Qatar Airways,Qatar Airways,19.17,23.67,2,2,1h 0m | 2h 0m,3h 25m | 2h 5m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.95,910.9875,Qatar Airways,Qatar Airways,19.17,24.25,2,2,1h 0m | 2h 0m,3h 15m | 1h 45m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.67,910.9175,Qatar Airways,Qatar Airways,19.17,26.0,2,2,1h 0m | 2h 0m,3h 25m | 4h 20m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.63,910.9075,Qatar Airways,Qatar Airways,21.83,23.67,2,2,3h 40m | 2h 0m,3h 25m | 2h 5m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.5,910.875,Qatar Airways,Qatar Airways,19.17,27.92,2,2,1h 0m | 2h 0m,3h 15m | 5h 25m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.29,910.8225,Qatar Airways,Qatar Airways,24.58,23.67,2,2,6h 25m | 2h 0m,3h 25m | 2h 5m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.12,910.78,Qatar Airways,Qatar Airways,19.17,31.08,2,2,1h 0m | 2h 0m,3h 15m | 8h 35m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.35,910.8375,Qatar Airways,Qatar Airways,21.83,26.0,2,2,3h 40m | 2h 0m,3h 25m | 4h 20m
2026-06-01 15:45:53,SVQ,PVG,2026-11-14,2026-11-28,14,3643.62,910.905,Qatar Airways,Qatar Airways,21.83,24.25,2,2,3h 40m | 2h 0m,3h 15m | 1h 45m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2817.58,704.395,Turkish Airlines,Turkish Airlines,21.58,22.92,1,1,8h 0m,7h 35m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2817.86,704.465,Turkish Airlines,Turkish Airlines,21.58,33.0,1,1,8h 0m,17h 35m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2977.19,744.2975,KLM,Air France,16.75,22.33,1,1,2h 40m,6h 55m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3725.52,931.38,Lufthansa,Air China + Lufthansa,17.25,16.83,1,1,4h 10m,3h 5m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2816.97,704.2425,Turkish Airlines,Turkish Airlines,36.33,22.92,1,1,22h 55m,7h 35m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2816.88,704.22,Turkish Airlines,Turkish Airlines,36.33,33.0,1,1,22h 55m,17h 35m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3207.04,801.76,Air France,Air France,18.33,22.33,1,1,4h 20m,6h 55m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2893.64,723.41,KLM,Air France,24.5,22.33,2,1,3h 25m | 5h 30m,6h 55m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,2893.65,723.4125,KLM,Air France,24.5,22.33,2,1,4h 40m | 4h 10m,6h 55m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3102.42,775.605,KLM,KLM,16.75,25.5,1,2,2h 40m,6h 35m | 1h 45m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3102.42,775.605,KLM,KLM,16.75,25.5,1,2,2h 40m,2h 10m | 6h 5m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3102.43,775.6075,KLM,KLM,16.75,25.5,1,2,2h 40m,5h 30m | 2h 40m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3108.87,777.2175,KLM,KLM,16.75,25.5,1,2,2h 40m,4h 20m | 4h 0m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3108.88,777.22,KLM,KLM,16.75,25.5,1,2,2h 40m,3h 45m | 4h 30m
2026-06-01 15:46:03,SVQ,PEK,2026-11-14,2026-11-29,15,3108.88,777.22,KLM,KLM,16.75,25.5,1,2,2h 40m,3h 5m | 5h 10m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,3176.37,794.0925,Turkish Airlines,Turkish Airlines,22.5,18.75,1,1,7h 40m,1h 55m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,2808.03,702.0075,Turkish Airlines,Turkish Airlines,37.58,18.75,1,1,22h 55m,1h 55m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,3580.57,895.1425,Swiss,Lufthansa,15.58,18.17,1,1,1h 10m,1h 40m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,3175.32,793.83,Turkish Airlines,Turkish Airlines,22.5,31.75,1,1,7h 40m,14h 45m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,2807.12,701.78,Turkish Airlines,Turkish Airlines,37.58,31.75,1,1,22h 55m,14h 45m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,3032.39,758.0975,Swiss,Lufthansa,15.58,33.92,1,2,1h 10m,12h 25m | 3h 35m
2026-06-01 15:46:14,SVQ,PVG,2026-11-14,2026-11-29,15,3032.39,758.0975,Swiss,Lufthansa,15.58,33.92,1,2,1h 10m,13h 25m | 2h 35m
